,nodes_pred,nodes_Conv_clas,nodes_Dense_clas,kernel_size,strides,learning_rate_pred,learning_rate_clas,batch_sizes_pred,batch_sizes_clas,val_treshold_pred,val_treshold_clas,max_val_amount_pred,max_val_amount_clas,val_freq_pred,val_freq_clas,EPOCHS_pred,EPOCHS_clas,time_steps,trials,brain_areas,mse_pred,mse_clas,true_positive_clas,true_negative_clas,STOP_pred,STOP_clas,time,brain_area
365,75,45,15,4,1,5e-05,5e-05,50,10,1e-10,1e-09,50,200,25,5,15,20,100,1000,1000,0.020794606309930172,0.09291782404155895,0.5195195195195195,1.0,Max val increment,Max Epochs,24.78258204460144,231
366,100,45,25,8,1,1e-05,0.005,25,10,1e-10,1e-09,200,200,25,5,15,20,100,1000,1000,0.01853838608174624,0.0029148095404697956,0.987987987987988,1.0,Max val increment,Max val increment,38.194687843322754,231
367,75,45,25,8,1,1e-05,0.005,25,10,1e-10,1e-09,200,200,25,5,35,20,100,1000,1000,0.01856271960656444,0.0059029426041076385,1.0,0.9910044977511244,Max val increment,Max val increment,54.10834002494812,231
368,150,45,25,8,1,5e-05,0.005,50,10,1e-10,1e-09,200,200,25,5,15,20,100,1000,1000,0.020107081957860228,0.15224029892670415,1.0,0.8845577211394303,Max val increment,Max val increment,31.049880027770996,231
369,75,45,25,8,1,1e-05,0.005,25,10,1e-10,1e-09,200,200,25,5,15,20,100,1000,1000,0.018616665791031863,0.005964581332337378,0.987987987987988,0.9970014992503748,Max_epochs,Max val increment,47.13529300689697,231
370,125,45,25,8,1,1e-05,0.005,25,10,1e-10,1e-09,200,200,25,5,15,20,100,1000,1000,0.01746823352520928,0.020999999761074514,0.93993993993994,0.9985007496251874,Max val increment,Max val increment,48.13880014419556,231
371,75,45,25,8,1,1e-05,0.005,50,10,1e-10,1e-09,200,200,25,5,15,20,100,1000,1000,0.018997976602700365,0.0995381414419789,0.963963963963964,0.992503748125937,Max val increment,Max val increment,33.46155595779419,231
372,75,45,25,8,1,5e-05,0.005,25,10,1e-08,1e-09,200,200,25,5,15,20,100,1000,1000,0.020861968615894254,0.07356780380172666,0.7657657657657657,0.9985007496251874,Max val increment,Max val increment,27.11817502975464,231
373,100,30,15,8,1,5e-06,0.005,25,10,1e-10,1e-09,200,200,100,5,15,40,100,1000,1000,0.018927611347994214,0.010109654235234036,0.990990990990991,0.9880059970014993,Max_epochs,Max val increment,43.07716488838196,231
374,125,30,15,8,1,1e-05,0.005,50,10,1e-08,1e-09,200,200,100,5,35,40,100,1000,1000,0.018805432999276856,0.024130644275074727,1.0,0.9610194902548725,Max_epochs,Max val increment,49.05770397186279,231
375,75,30,15,8,1,1e-05,0.005,25,10,1e-08,1e-09,50,200,100,5,15,40,100,1000,1000,0.018795683636692456,0.020741313845495876,0.933933933933934,0.9940029985007496,Max_epochs,Max val increment,41.19780921936035,231
376,75,45,15,8,1,5e-05,0.005,25,10,1e-10,1e-09,200,200,25,5,15,40,100,1000,1000,0.019731637740397687,0.1254005281381578,0.0,1.0,Max val increment,Max val increment,27.96032190322876,231
377,50,25,25,4,1,5e-06,1e-05,50,10,1e-08,1e-09,200,200,100,5,15,15,100,1000,1000,0.01946831777817728,0.19272282164301363,0.0,1.0,Max_epochs,Max Epochs,31.413372039794922,231
378,50,30,15,8,1,1e-05,0.005,25,10,1e-08,1e-09,200,200,100,5,15,15,100,1000,1000,0.01416874512542759,0.04160121117298573,0.8498498498498499,0.9985007496251874,Max_epochs,Max val increment,40.76045107841492,231
379,50,45,15,10,1,1e-06,0.005,100,50,1e-09,1e-09,50,100,50,2,35,40,100,1000,1000,0.02257876819927294,0.05255016765785164,0.8528528528528528,0.9880059970014993,Max_epochs,Max val increment,34.51774621009827,231
380,75,20,10,10,1,1e-06,0.005,100,50,1e-09,1e-09,50,100,50,2,40,20,100,1000,1000,0.02427757347401441,0.2151093169039655,0.0,1.0,Max val increment,Max val increment,28.50796914100647,231
381,50,45,15,10,2,1e-06,0.005,100,10,1e-09,1e-09,50,100,50,2,35,20,100,1000,1000,0.025294698954048123,0.2138581882402509,0.0,1.0,Max_epochs,Max val increment,33.49078607559204,231
382,125,30,15,10,1,5e-05,0.005,100,25,1e-10,1e-09,50,100,50,2,30,30,100,1000,1000,0.020402690098426247,0.04191393363344188,0.8948948948948949,0.9985007496251874,Max val increment,Max val increment,22.704922199249268,231
383,50,45,15,10,1,1e-06,0.005,100,25,1e-10,1e-09,50,100,50,2,35,35,100,1000,1000,0.029659066982699506,0.18397026893543,0.2012012012012012,0.9415292353823088,Max val increment,Max val increment,28.4931321144104,231
384,100,30,25,8,3,1e-05,5e-05,50,5,1e-10,1e-08,50,200,25,2,30,30,100,1000,1000,0.019618791658691792,0.00286161354884383,0.996996996996997,0.9970014992503748,Max val increment,Max val increment,31.939364194869995,231
385,50,30,25,8,3,5e-06,5e-05,50,5,1e-10,1e-08,50,200,25,2,30,30,100,1000,1000,0.019549441284197583,0.002978274882742907,1.0,0.9955022488755623,Max val increment,Max val increment,39.02679800987244,231
386,75,30,25,8,3,0.005,5e-05,50,5,1e-10,1e-08,50,200,25,2,30,30,100,1000,1000,0.033171352023093764,0.22458374557232094,0.0,1.0,Max val increment,Max val increment,20.103750944137573,231
387,50,45,15,8,1,1e-05,1e-05,50,5,1e-08,1e-08,50,200,25,2,30,35,100,1000,1000,0.019111741398296272,0.003037669517816415,0.996996996996997,0.9940029985007496,Max val increment,Max Epochs,52.35426187515259,231
388,150,45,15,8,1,0.005,1e-05,50,5,1e-08,1e-08,50,200,25,2,30,35,100,1000,1000,0.03141619648083657,0.2201108764240456,0.0,1.0,Max val increment,Max val increment,23.670665979385376,231
389,50,45,10,6,3,5e-05,0.005,200,10,1e-09,1e-09,50,200,100,10,35,15,100,1000,1000,0.020207985086509384,0.23243152876074738,0.0,1.0,Max_epochs,Max Epochs,28.066299200057983,231
390,50,25,25,4,1,1e-06,5e-05,200,10,1e-09,1e-09,50,200,100,10,35,15,100,1000,1000,0.02585664804696577,0.160379824721112,0.08108108108108109,1.0,Max_epochs,Max Epochs,28.88054609298706,231
391,50,20,10,6,1,5e-05,1e-05,50,25,1e-09,1e-10,50,50,100,2,30,15,100,1000,1000,0.017975755271349238,0.2191103390681926,0.0,1.0,Max val increment,Max val increment,31.30454397201538,231
392,75,30,20,6,1,1e-06,1e-05,50,50,1e-09,1e-10,50,50,100,5,15,30,100,1000,1000,0.02471729380201073,0.22405680942410897,0.0,1.0,Max_epochs,Max val increment,31.263383626937866,231
393,50,25,10,10,1,5e-05,5e-05,50,10,1e-09,1e-10,100,200,25,2,30,40,100,1000,1000,0.01841843397689774,0.0057630395486100786,0.978978978978979,0.9970014992503748,Max val increment,Max val increment,36.15314292907715,231
394,125,25,10,10,1,1e-06,5e-05,50,10,1e-09,1e-10,100,200,25,2,30,40,100,1000,1000,0.027254201004513742,0.2189955541736065,0.0,1.0,Max val increment,Max val increment,32.34055185317993,231
395,50,30,10,10,1,5e-05,1e-05,50,25,1e-09,1e-10,100,200,25,2,30,40,100,1000,1000,0.02154919161906645,0.10611295417259815,0.8738738738738738,1.0,Max val increment,Max Epochs,26.724933862686157,231
396,50,20,10,10,1,5e-05,1e-05,50,25,1e-09,1e-10,100,200,25,2,35,40,100,1000,1000,0.019357015401763978,0.17472474094439047,0.03003003003003003,1.0,Max val increment,Max Epochs,24.742576837539673,231
397,50,30,20,8,3,1e-05,0.005,100,10,1e-09,1e-10,100,200,25,2,30,15,100,1000,1000,0.018123133169031216,0.01339399566766986,1.0,0.9790104947526237,Max_epochs,Max val increment,33.8026909828186,231
398,75,30,20,8,3,5e-06,0.005,100,10,1e-09,1e-10,100,200,25,2,25,15,100,1000,1000,0.023772849380199038,0.04251355965596103,0.963963963963964,0.9775112443778111,Max_epochs,Max val increment,31.72358202934265,231
399,50,30,20,8,3,0.005,0.005,25,10,1e-09,1e-10,100,200,25,2,30,15,100,1000,1000,0.03489930062137445,0.21529954386594613,0.0,1.0,Max val increment,Max val increment,20.719739198684692,231
400,100,40,20,8,1,1e-06,5e-05,50,5,1e-10,1e-08,200,50,25,2,30,40,100,1000,1000,0.021419944443714162,0.22191338328435267,0.0,1.0,Max_epochs,Max val increment,51.292080879211426,231
401,50,40,5,2,2,0.0001,0.0001,100,5,1e-08,1e-08,50,200,25,5,35,15,100,1000,1000,0.0211444403963994,0.2214819766114798,0.0,1.0,Max val increment,Max val increment,20.972514152526855,231
402,50,30,20,8,2,1e-05,0.005,25,5,1e-09,1e-09,100,100,50,5,25,30,100,1000,1000,0.01768500387920725,0.008054262943893893,1.0,0.9880059970014993,Max val increment,Max val increment,46.89029097557068,231
403,75,30,20,8,2,0.005,0.005,25,5,1e-09,1e-09,100,100,50,5,25,30,100,1000,1000,0.03750886236946401,0.22231464615598326,0.0,1.0,Max val increment,Max val increment,21.721723079681396,231
404,50,25,10,4,3,5e-05,5e-05,50,25,1e-09,1e-10,100,50,100,10,15,15,100,1000,1000,0.018294414766781272,0.21315420334158153,0.0,1.0,Max_epochs,Max Epochs,30.331990003585815,231
405,50,30,10,4,3,1e-06,5e-05,50,5,1e-09,1e-10,100,50,100,5,15,15,100,1000,1000,0.021102916767819224,0.2227689028815752,0.0,1.0,Max_epochs,Max val increment,30.490283012390137,231
406,50,35,5,8,2,1e-05,0.005,100,50,1e-09,1e-09,100,100,50,5,35,30,100,1000,1000,0.019080286335213657,0.2392039157770756,0.0,1.0,Max_epochs,Max Epochs,33.90530586242676,231
407,50,30,25,4,3,5e-05,5e-05,50,25,1e-09,1e-10,100,50,100,10,15,15,100,1000,1000,0.019546540433263277,0.20276278457766306,0.0,1.0,Max_epochs,Max Epochs,30.002296209335327,231
408,50,35,25,8,2,5e-06,0.005,25,5,1e-09,1e-09,100,100,50,5,25,30,100,1000,1000,0.018577799573168907,0.017917828389950218,0.9669669669669669,0.9955022488755623,Max_epochs,Max val increment,55.50686001777649,231
409,50,35,25,8,2,0.005,0.005,100,5,1e-09,1e-09,100,100,50,5,35,30,100,1000,1000,0.03246831852595037,0.22212549101020262,0.0,1.0,Max val increment,Max val increment,22.044517755508423,231
410,125,30,5,8,1,1e-06,5e-05,50,25,1e-09,1e-10,100,50,100,10,15,15,100,1000,1000,0.024496651571178262,0.28853164188184643,1.0,0.0,Max_epochs,Max Epochs,32.82804298400879,231
411,75,30,5,8,1,5e-05,5e-05,200,25,1e-09,1e-10,100,50,100,10,15,15,100,1000,1000,0.020047532524254733,0.16863336341600785,0.08108108108108109,1.0,Max_epochs,Max Epochs,23.794093132019043,231
