;mse_pred;mse_clas;truepositive_clas;truenegative_clas;STOP;STOP_clas
552;0.4271083803241383;0.011006234038471313;1.0;0.9805097451274363;Max val increment;Max val increment
553;0.4710716293992612;0.059325526355345;0.8708708708708709;0.9565217391304348;Max val increment;Max val increment
554;0.3540364343164162;0.0055161632735699715;1.0;0.9910044977511244;Max val increment;Max val increment
555;0.4080812577430844;0.013786985592332449;0.996996996996997;0.9805097451274363;Max val increment;Max val increment
556;0.40092177384326233;0.011426608169929672;0.996996996996997;0.9850074962518741;Max val increment;Max val increment
557;0.3858443661222493;0.00512704740669913;1.0;0.9910044977511244;Max val increment;Max val increment
558;0.5044822199349395;0.029268993276332266;0.93993993993994;0.9730134932533733;Max val increment;Max val increment
559;0.3301780940764001;0.0013964026600267107;1.0;0.9970014992503748;Max val increment;Max val increment
560;0.46599372445448023;0.015674543149387647;0.975975975975976;0.9865067466266867;Max val increment;Max val increment
561;0.46612313573802916;0.029164072708263284;0.978978978978979;0.9715142428785607;Max val increment;Max val increment
562;0.40219057705681077;0.011867146341507888;1.0;0.9820089955022488;Max val increment;Max val increment
563;0.3895997635801512;0.008917880626551427;1.0;0.9880059970014993;Max val increment;Max val increment
564;0.41558272315969713;0.009852424125898701;0.996996996996997;0.9895052473763118;Max val increment;Max val increment
565;0.5486192189325216;0.06906699018702014;0.8588588588588588;0.9355322338830585;Max val increment;Max val increment
566;0.36350911964032356;0.004300613088013746;1.0;0.9940029985007496;Max val increment;Max val increment
567;0.44258551279778074;0.014719456877292097;0.975975975975976;0.9865067466266867;Max val increment;Max val increment
568;0.34550348686146615;0.005445273250837405;1.0;0.992503748125937;Max val increment;Max val increment
569;0.4697277799953703;0.03544822040090047;0.9579579579579579;0.9550224887556222;Max val increment;Max val increment
570;0.37911206932691094;0.0031598937836056227;0.996996996996997;0.9970014992503748;Max val increment;Max val increment
571;0.40765681742251997;0.016531671271950068;0.9669669669669669;0.9880059970014993;Max val increment;Max val increment
572;0.39276011454574417;0.005298898052130649;1.0;0.9880059970014993;Max val increment;Max val increment
573;0.494195062717067;0.04238736852313441;0.996996996996997;0.9220389805097451;Max val increment;Max val increment
574;0.4061326799850668;0.006784805956862492;1.0;0.9880059970014993;Max val increment;Max val increment
575;0.3989847611618889;0.014271754931091944;1.0;0.9805097451274363;Max val increment;Max val increment
576;0.5106273024435618;0.03343175166339015;0.9369369369369369;0.9700149925037481;Max val increment;Max val increment
577;0.5469449987219223;0.21265875118201658;0.0;1.0;Max val increment;Max val increment
578;0.37901263483872083;0.006638211829089948;0.993993993993994;0.9910044977511244;Max val increment;Max val increment
579;0.5885162374788359;0.19421173506879916;0.0;1.0;Max val increment;Max val increment
580;0.49287724203139927;0.028873955502074736;0.987987987987988;0.9505247376311844;Max val increment;Max val increment
581;0.6348331607929266;0.14853431533665837;0.44144144144144143;0.9385307346326837;Max val increment;Max val increment
582;0.4841888566433899;0.027178333416537213;0.996996996996997;0.9535232383808095;Max val increment;Max val increment
583;0.423133459768139;0.013389744889975325;1.0;0.9775112443778111;Max val increment;Max val increment
584;0.6401695915116978;0.2158897441836533;0.0;1.0;Max val increment;Max val increment
585;0.4207667544896072;0.0016179133437200113;1.0;0.9985007496251874;Max val increment;Max val increment
586;0.4650144915254319;0.029013976793365304;1.0;0.9550224887556222;Max val increment;Max val increment
587;0.39326355562894727;0.0069708928659444015;1.0;0.9895052473763118;Max val increment;Max val increment
588;0.5575974491560274;0.21908350572297056;0.0;1.0;Max val increment;Max val increment
589;0.5117857585850513;0.046969037419033015;0.975975975975976;0.9265367316341829;Max val increment;Max val increment
590;0.41898214537356776;0.011226702867502717;0.978978978978979;0.9895052473763118;Max val increment;Max val increment
591;0.541221272257422;0.04877826063984881;0.987987987987988;0.9160419790104948;Max val increment;Max val increment
592;0.5579746964002592;0.0835715316377781;0.8768768768768769;0.9100449775112444;Max val increment;Max val increment
593;0.40484596290914093;0.01754017585086398;0.954954954954955;0.9910044977511244;Max val increment;Max val increment
594;0.468086055170222;0.021989787011536747;0.963963963963964;0.9835082458770614;Max val increment;Max val increment
595;0.6024211887044437;0.11113478741831137;0.8168168168168168;0.8620689655172413;Max val increment;Max val increment
596;0.6577462633334775;0.22225049025812688;0.0;1.0;Max val increment;Max val increment
597;0.4177221089244432;0.008381529083800856;0.993993993993994;0.9850074962518741;Max val increment;Max val increment
598;0.526441294265035;0.040473799237101746;0.9219219219219219;0.9640179910044977;Max val increment;Max val increment
599;0.5193254354543079;0.046214403090379774;0.924924924924925;0.9565217391304348;Max val increment;Max val increment
600;0.6127272836244129;0.21558891721119514;0.0;1.0;Max val increment;Max val increment
601;0.5013995949351125;0.03312228936732237;0.9579579579579579;0.967016491754123;Max val increment;Max val increment
602;0.48779090874257347;0.02521580372830963;0.993993993993994;0.9610194902548725;Max val increment;Max val increment
603;0.414519545558317;0.017209437149441974;1.0;0.9730134932533733;Max val increment;Max val increment
604;0.3439682618380207;0.008940526653043032;1.0;0.9865067466266867;Max val increment;Max val increment
605;0.3765028554042109;0.007459520010404472;1.0;0.9880059970014993;Max val increment;Max val increment
606;0.4476274096652787;0.017427057958380354;0.996996996996997;0.9685157421289355;Max val increment;Max val increment
607;0.40033134619659;0.00952677440064117;1.0;0.9835082458770614;Max val increment;Max val increment
608;0.5016521196874358;0.04002658567756132;0.8978978978978979;0.9760119940029985;Max val increment;Max val increment
609;0.5598085380610794;0.0807380738851236;0.7777777777777778;0.9385307346326837;Max val increment;Max val increment
610;0.4865037814801678;0.01822210627233473;0.987987987987988;0.9715142428785607;Max val increment;Max val increment
611;0.5113256259816926;0.035686788667477584;0.963963963963964;0.9565217391304348;Max val increment;Max val increment
612;0.339720906252191;0.001000000003480281;1.0;0.9985007496251874;Max val increment;Max val increment
613;0.40085191657163705;0.009822859842953691;0.996996996996997;0.9850074962518741;Max val increment;Max val increment
614;0.4488737732265282;0.0112071244383726;1.0;0.9805097451274363;Max val increment;Max val increment
615;0.38015305382391656;0.008881094661476888;1.0;0.9865067466266867;Max val increment;Max val increment
616;0.5121145597973477;0.030624942476033548;0.9579579579579579;0.9655172413793104;Max val increment;Max val increment
